transaction_id,source_inventory_id,destination_inventory_id,quantity,dest_qty,loss_percent,mode
TXN-B1001-1,COLLECTION_SOURCE,INV-B1001-1,1964.78,1921.55,2.2,INWARD
TXN-B1001-2,INV-B1001-1,INV-B1001-2,1921.55,1826.52,4.95,SEGREGATION
TXN-B1001-3,INV-B1001-2,INV-B1001-3,1826.52,1781.16,2.48,WASHING
TXN-B1001-4,INV-B1001-3,INV-B1001-4,1781.16,1714.16,3.76,RECYCLING
TXN-B1001-5,INV-B1001-4,INV-B1001-5,1714.16,1655.22,3.44,DISPATCH
TXN-B1002-1,COLLECTION_SOURCE,INV-B1002-1,1932.17,1879.41,2.73,INWARD
TXN-B1002-2,INV-B1002-1,INV-B1002-2,1879.41,1813.46,3.51,SEGREGATION
TXN-B1002-3,INV-B1002-2,INV-B1002-3,1813.46,1726.78,4.78,WASHING
TXN-B1002-4,INV-B1002-3,INV-B1002-4,1726.78,1640.77,4.98,RECYCLING
TXN-B1002-5,INV-B1002-4,INV-B1002-5,1640.77,1594.64,2.81,DISPATCH
TXN-B1003-1,COLLECTION_SOURCE,INV-B1003-1,2399.58,2302.64,4.04,INWARD
TXN-B1003-2,INV-B1003-1,INV-B1003-2,2302.64,2243.04,2.59,SEGREGATION
TXN-B1003-3,INV-B1003-2,INV-B1003-3,2243.04,2157.93,3.79,WASHING
TXN-B1003-4,INV-B1003-3,INV-B1003-4,2157.93,2105.38,2.44,RECYCLING
TXN-B1003-5,INV-B1003-4,INV-B1003-5,2105.38,2022.6,3.93,DISPATCH
TXN-B1004-1,COLLECTION_SOURCE,INV-B1004-1,1671.53,1598.69,4.36,INWARD
TXN-B1004-2,INV-B1004-1,INV-B1004-2,1598.69,1536.23,3.91,SEGREGATION
TXN-B1004-3,INV-B1004-2,INV-B1004-3,1536.23,1488.65,3.1,WASHING
TXN-B1004-4,INV-B1004-3,INV-B1004-4,1488.65,1433.86,3.68,RECYCLING
TXN-B1004-5,INV-B1004-4,INV-B1004-5,1433.86,1368.33,4.57,DISPATCH
TXN-B1005-1,COLLECTION_SOURCE,INV-B1005-1,650.38,622.6,4.27,INWARD
TXN-B1005-2,INV-B1005-1,INV-B1005-2,622.6,605.08,2.81,SEGREGATION
TXN-B1005-3,INV-B1005-2,INV-B1005-3,605.08,592.18,2.13,WASHING
TXN-B1005-4,INV-B1005-3,INV-B1005-4,592.18,568.11,4.06,RECYCLING
TXN-B1005-5,INV-B1005-4,INV-B1005-5,568.11,555.57,2.21,DISPATCH
TXN-B1006-1,COLLECTION_SOURCE,INV-B1006-1,1227.4,1173.01,4.43,INWARD
TXN-B1006-2,INV-B1006-1,INV-B1006-2,1173.01,1137.14,3.06,SEGREGATION
TXN-B1006-3,INV-B1006-2,INV-B1006-3,1137.14,1098.1,3.43,WASHING
TXN-B1006-4,INV-B1006-3,INV-B1006-4,1098.1,1056.89,3.75,RECYCLING
TXN-B1006-5,INV-B1006-4,INV-B1006-5,1056.89,1009.52,4.48,DISPATCH
TXN-B1007-1,COLLECTION_SOURCE,INV-B1007-1,852.51,826.94,3.0,INWARD
TXN-B1007-2,INV-B1007-1,INV-B1007-2,826.94,787.38,4.78,SEGREGATION
TXN-B1007-3,INV-B1007-2,INV-B1007-3,787.38,763.09,3.09,WASHING
TXN-B1007-4,INV-B1007-3,INV-B1007-4,763.09,728.13,4.58,RECYCLING
TXN-B1007-5,INV-B1007-4,INV-B1007-5,728.13,693.55,4.75,DISPATCH
TXN-B1008-1,COLLECTION_SOURCE,INV-B1008-1,2178.79,2111.17,3.1,INWARD
TXN-B1008-2,INV-B1008-1,INV-B1008-2,2111.17,2062.06,2.33,SEGREGATION
TXN-B1008-3,INV-B1008-2,INV-B1008-3,2062.06,2006.78,2.68,WASHING
TXN-B1008-4,INV-B1008-3,INV-B1008-4,2006.78,1914.14,4.62,RECYCLING
TXN-B1009-1,COLLECTION_SOURCE,INV-B1009-1,525.55,500.0,4.86,INWARD
TXN-B1009-2,INV-B1009-1,INV-B1009-2,500.0,489.67,2.07,SEGREGATION
TXN-B1009-3,INV-B1009-2,INV-B1009-3,489.67,466.82,4.67,WASHING
TXN-B1009-4,INV-B1009-3,INV-B1009-4,466.82,456.45,2.22,RECYCLING
TXN-B1009-5,INV-B1009-4,INV-B1009-5,456.45,441.41,3.29,DISPATCH
TXN-B1010-1,COLLECTION_SOURCE,INV-B1010-1,1368.14,1319.63,3.55,INWARD
TXN-B1010-2,INV-B1010-1,INV-B1010-2,1319.63,1260.26,4.5,SEGREGATION
TXN-B1010-3,INV-B1010-2,INV-B1010-3,1260.26,1206.6,4.26,WASHING
TXN-B1010-4,INV-B1010-3,INV-B1010-4,1206.6,1152.14,4.51,RECYCLING
TXN-B1010-5,INV-B1010-4,INV-B1010-5,1152.14,1114.94,3.23,DISPATCH
TXN-B1011-1,COLLECTION_SOURCE,INV-B1011-1,1282.69,1224.02,4.57,INWARD
TXN-B1011-2,INV-B1011-1,INV-B1011-2,1224.02,1194.33,2.43,SEGREGATION
TXN-B1011-3,INV-B1011-2,INV-B1011-3,1194.33,1165.95,2.38,WASHING
TXN-B1011-4,INV-B1011-3,INV-B1011-4,1165.95,1132.34,2.88,RECYCLING
TXN-B1011-5,INV-B1011-4,INV-B1011-5,1132.34,1094.78,3.32,DISPATCH
TXN-B1012-1,COLLECTION_SOURCE,INV-B1012-1,2161.31,2076.12,3.94,INWARD
TXN-B1012-2,INV-B1012-1,INV-B1012-2,2076.12,1990.48,4.12,SEGREGATION
