transform_id,transaction_id,tenant_id,source_inventory_id,destination_inventory_id,quantity,loss_percent,mode
TRF-0001,TXN-0001,TENANT-001,NULL,INV-0001,1585.46,1.08,
TRF-0002,TXN-0002,TENANT-001,INV-0001,INV-0002,1498.89,5.46,
TRF-0003,TXN-0003,TENANT-001,INV-0002,BALE-0001,1435.49,4.23,
TRF-0004,TXN-0004,TENANT-001,BALE-0001,SHIP-0001,1434.05,0.1,
TRF-0005,TXN-0005,TENANT-001,SHIP-0001,RECV-0001,1428.03,0.42,
TRF-0006,TXN-0006,TENANT-001,RECV-0001,WASH-0001,1410.61,1.22,
TRF-0007,TXN-0007,TENANT-001,WASH-0001,INV-0003,1406.38,0.3,
TRF-0008,TXN-0008,TENANT-001,INV-0003,SHIP-0002,1396.11,0.73,
TRF-0009,TXN-0009,TENANT-001,SHIP-0002,RECV-0002,1393.46,0.19,
TRF-0010,TXN-0010,TENANT-001,RECV-0002,GRAN-0001,1371.72,1.56,
TRF-0011,TXN-0011,TENANT-001,GRAN-0001,SHIP-0003,1365.41,0.46,
TRF-0012,TXN-0012,TENANT-001,SHIP-0003,RECV-0003,1343.29,1.62,
TRF-0013,TXN-0013,TENANT-001,RECV-0003,PIPE-0001,1327.17,1.2,
TRF-0014,TXN-0014,TENANT-001,NULL,INV-0004,1769.87,1.85,
TRF-0015,TXN-0015,TENANT-001,INV-0004,INV-0005,1691.29,4.44,
TRF-0016,TXN-0016,TENANT-001,INV-0005,BALE-0002,1615.86,4.46,
TRF-0017,TXN-0017,TENANT-001,BALE-0002,SHIP-0004,1609.72,0.38,
TRF-0018,TXN-0018,TENANT-001,SHIP-0004,RECV-0004,1594.75,0.93,
TRF-0019,TXN-0019,TENANT-001,RECV-0004,WASH-0002,1551.85,2.69,
TRF-0020,TXN-0020,TENANT-001,WASH-0002,INV-0006,1520.97,1.99,
TRF-0021,TXN-0021,TENANT-001,INV-0006,SHIP-0005,1518.69,0.15,
TRF-0022,TXN-0022,TENANT-001,SHIP-0005,RECV-0005,1503.96,0.97,
TRF-0023,TXN-0023,TENANT-001,RECV-0005,GRAN-0002,1443.95,3.99,
TRF-0024,TXN-0024,TENANT-001,GRAN-0002,SHIP-0006,1435.58,0.58,
TRF-0025,TXN-0025,TENANT-001,SHIP-0006,RECV-0006,1434.0,0.11,
TRF-0026,TXN-0026,TENANT-001,RECV-0006,PIPE-0002,1370.76,4.41,
TRF-0027,TXN-0027,TENANT-001,NULL,INV-0007,1501.78,0.81,
TRF-0028,TXN-0028,TENANT-001,INV-0007,INV-0008,1419.63,5.47,
TRF-0029,TXN-0029,TENANT-001,INV-0008,BALE-0003,1400.75,1.33,
TRF-0030,TXN-0030,TENANT-001,BALE-0003,SHIP-0007,1392.77,0.57,
TRF-0031,TXN-0031,TENANT-001,SHIP-0007,RECV-0007,1389.98,0.2,
TRF-0032,TXN-0032,TENANT-001,RECV-0007,WASH-0003,1362.88,1.95,
TRF-0033,TXN-0033,TENANT-001,WASH-0003,INV-0009,1335.35,2.02,
TRF-0034,TXN-0034,TENANT-001,INV-0009,SHIP-0008,1329.21,0.46,
TRF-0035,TXN-0035,TENANT-001,SHIP-0008,RECV-0008,1323.1,0.46,
TRF-0036,TXN-0036,TENANT-001,RECV-0008,GRAN-0003,1306.03,1.29,
TRF-0037,TXN-0037,TENANT-001,GRAN-0003,SHIP-0009,1302.5,0.27,
TRF-0038,TXN-0038,TENANT-001,SHIP-0009,RECV-0009,1279.58,1.76,
TRF-0039,TXN-0039,TENANT-001,RECV-0009,PIPE-0003,1258.72,1.63,
TRF-0040,TXN-0040,TENANT-001,NULL,INV-0010,1622.21,1.34,
TRF-0041,TXN-0041,TENANT-001,INV-0010,INV-0011,1499.08,7.59,
TRF-0042,TXN-0042,TENANT-001,INV-0011,BALE-0004,1468.2,2.06,
TRF-0043,TXN-0043,TENANT-001,BALE-0004,SHIP-0010,1460.12,0.55,
TRF-0044,TXN-0044,TENANT-001,SHIP-0010,RECV-0010,1451.36,0.6,
TRF-0045,TXN-0045,TENANT-001,RECV-0010,WASH-0004,1425.09,1.81,
TRF-0046,TXN-0046,TENANT-001,WASH-0004,REJECT-0001,1425.09,0.0,
TRF-0047,TXN-0047,TENANT-001,REJECT-0001,SHIP-0011,1421.53,0.25,
TRF-0048,TXN-0048,TENANT-001,SHIP-0011,RECV-0011,1420.25,0.09,
TRF-0049,TXN-0049,TENANT-001,RECV-0011,GRAN-0004,1403.49,1.18,
TRF-0050,TXN-0050,TENANT-001,GRAN-0004,SHIP-0012,1394.51,0.64,
TRF-0051,TXN-0051,TENANT-001,SHIP-0012,RECV-0012,1373.87,1.48,
TRF-0052,TXN-0052,TENANT-001,RECV-0012,PIPE-0004,1373.87,0.0,
TRF-0053,TXN-0053,TENANT-001,NULL,INV-0012,1310.34,0.22,
TRF-0054,TXN-0054,TENANT-001,INV-0012,INV-0013,1241.29,5.27,
TRF-0055,TXN-0055,TENANT-001,INV-0013,BALE-0005,1201.44,3.21,
TRF-0056,TXN-0056,TENANT-001,BALE-0005,SHIP-0013,1200.96,0.04,
TRF-0057,TXN-0057,TENANT-001,SHIP-0013,RECV-0013,1190.15,0.9,
TRF-0058,TXN-0058,TENANT-001,RECV-0013,WASH-0005,1166.35,2.0,
TRF-0059,TXN-0059,TENANT-001,WASH-0005,REJECT-0002,1166.35,0.0,
TRF-0060,TXN-0060,TENANT-001,REJECT-0002,SHIP-0014,1155.04,0.97,
TRF-0061,TXN-0061,TENANT-001,SHIP-0014,RECV-0014,1144.3,0.93,
TRF-0062,TXN-0062,TENANT-001,RECV-0014,GRAN-0005,1088.23,4.9,
TRF-0063,TXN-0063,TENANT-001,GRAN-0005,SHIP-0015,1088.01,0.02,
TRF-0064,TXN-0064,TENANT-001,SHIP-0015,RECV-0015,1071.04,1.56,
TRF-0065,TXN-0065,TENANT-001,RECV-0015,PIPE-0005,1071.04,0.0,
TRF-0066,TXN-0066,TENANT-001,NULL,INV-0014,1827.14,0.53,
TRF-0067,TXN-0067,TENANT-001,INV-0014,INV-0015,1748.57,4.3,
TRF-0068,TXN-0068,TENANT-001,INV-0015,BALE-0006,1715.52,1.89,
TRF-0069,TXN-0069,TENANT-001,BALE-0006,SHIP-0016,1710.2,0.31,
TRF-0070,TXN-0070,TENANT-001,SHIP-0016,RECV-0016,1709.86,0.02,
TRF-0071,TXN-0071,TENANT-001,RECV-0016,WASH-0006,1670.36,2.31,
TRF-0072,TXN-0072,TENANT-001,WASH-0006,REJECT-0003,1670.36,0.0,
TRF-0073,TXN-0073,TENANT-001,REJECT-0003,SHIP-0017,1659.0,0.68,
TRF-0074,TXN-0074,TENANT-001,SHIP-0017,RECV-0017,1643.41,0.94,
TRF-0075,TXN-0075,TENANT-001,RECV-0017,GRAN-0006,1615.31,1.71,
TRF-0076,TXN-0076,TENANT-001,GRAN-0006,SHIP-0018,1613.53,0.11,
TRF-0077,TXN-0077,TENANT-001,SHIP-0018,RECV-0018,1589.97,1.46,
TRF-0078,TXN-0078,TENANT-001,RECV-0018,PIPE-0006,1589.97,0.0,
TRF-0079,TXN-0079,TENANT-001,NULL,INV-0016,1515.69,0.77,
TRF-0080,TXN-0080,TENANT-001,INV-0016,BALE-0007,1485.07,2.02,
TRF-0081,TXN-0081,TENANT-001,BALE-0007,SHIP-0019,1485.07,0.0,
TRF-0082,TXN-0082,TENANT-001,SHIP-0019,RECV-0019,1485.07,0.0,
TRF-0083,TXN-0083,TENANT-001,NULL,INV-0017,1213.56,1.9,
TRF-0084,TXN-0084,TENANT-001,INV-0017,BALE-0008,1186.13,2.26,
TRF-0085,TXN-0085,TENANT-001,BALE-0008,SHIP-0020,1186.13,0.0,
TRF-0086,TXN-0086,TENANT-001,SHIP-0020,RECV-0020,1186.13,0.0,
